**********************************************************************************************
*                                                                                            *
* Component List (Generic)                                                                   *
*                                                                                            *
* D:\UTENTI\00.LAVORI IN CORSO\METALTRONICA\22-301-0 (SCHEDA SERVIZI 2_02_2024\22-301-0.MAX  *
* Fri Feb 02 15:26:28 2024                                                                   *
*                                                                                            *
**********************************************************************************************

 REF DES    VALUE            PACKAGE          FOOTPRINT                      X LOC      Y LOC      ROTATION
------------------------------------------------------------------------------------------------------------
L30        BLM18BD102       L_1              SMD0603                         186.06 mm  158.12 mm 90      
L31        DLW5BTM102SQ2L   CHOKE_CM_6       DLW5BT-MURATA                   107.95 mm  144.78 mm 270     
Q1         ZXMS6004FFTA     MOSFET_N_8       SOT23-123                       14.61 mm   146.05 mm 0       
Q2         2N7002L          MOSFET_N_8       SOT23-123                       19.05 mm   146.05 mm 0       
Q3         ZXMS6004FFTA     MOSFET_N_8       SOT23-123                       138.43 mm  156.21 mm 180     
Q4         2N7002L          MOSFET_N_8       SOT23-123                       194.95 mm  175.90 mm 180     
Q5         PSMN3R0-60PS     MOSFET_N_6       TO220-123-IS                    76.84 mm   22.86 mm  90      
Q6         PSMN3R0-60PS     MOSFET_N_7       TO220H-NUM+RAME20X20            61.60 mm   74.30 mm  0       
Q7         PSMN3R0-60PS     MOSFET_N_10      TO220-123-IS                    88.90 mm   23.02 mm  90      
Q8         PSMN3R0-60PS     MOSFET_N_5       TO220H-NUM+RAME20X20            85.73 mm   74.30 mm  0       
Q9         2N7002L          MOSFET_N_8       SOT23-123                       74.93 mm   45.72 mm  270     
Q10        2N7002L          MOSFET_N_8       SOT23-123                       45.09 mm   53.98 mm  270     
Q11        ZXMS6004FFTA     MOSFET_N_8       SOT23-123                       111.13 mm  150.50 mm 90      
R1         1K               R                SMD0603                         15.88 mm   159.39 mm 90      
R2         330R             R                SMD1206                         16.51 mm   173.99 mm 90      
R3         330R             R                SMD1206                         26.04 mm   173.99 mm 90      
R4         680R             R                SMD0603                         25.40 mm   159.39 mm 270     
R5         330R             R                SMD1206                         21.59 mm   173.99 mm 90      
R6         330R             R                SMD1206                         30.48 mm   173.99 mm 90      
R7         680R             R                SMD0603                         20.96 mm   159.39 mm 270     
R8         680R             R                SMD0603                         29.85 mm   159.39 mm 270     
R9         330R             R                SMD1206                         -0.64 mm   173.99 mm 90      
R10        1K               R                SMD0603                         38.74 mm   159.39 mm 90      
R11        330R             R                SMD1206                         38.74 mm   173.99 mm 90      
R12        680R             R                SMD0603                         -1.27 mm   159.39 mm 270     
R13        330R             R                SMD1206                         3.81 mm    173.99 mm 90      
R14        1K               R                SMD0603                         44.45 mm   159.39 mm 90      
R15        330R             R                SMD1206                         44.45 mm   173.99 mm 90      
